address,geometry
"315 CUTTLE ROAD, MARYSVILLE, MI","[-82.47650259999999, 42.8979806]"
"50 MACK AVENUE, MARYSVILLE, MI","[-82.4769381, 42.8853911]"
"51410 MILANO DRIVE, MACOMB, MI","[-82.9656559, 42.6736778]"
"260 N. ROSE ST, MT. CLEMENS, MI","[-82.8945525, 42.6104563]"
"30871 23 MILE ROAD, BALTIMORE, MI","[-82.8003457, 42.6755215]"
"51536 INDUSTRIAL DRIVE, NEW BALTIMORE, MI","[-82.7536772, 42.6832184]"
"51005 WASHINGTON, NEW BALTIMORE, MI","[-82.7352832, 42.67963750000001]"
"51537 INDUSTRIAL DRIVE, NEW BALTIMORE, MI","[-82.7550255, 42.6826956]"
"32000 32 MILE ROAD, LENOX, MI","[-82.796776, 42.80316699999999]"
"48175 GRAIOT AVENUE, CHESTERFIELD, MI","[-82.8519651, 42.6538797]"
"50925 RICHARD W BLVD, CHESTERFIELD, MI 4, CHESTERFIELD TOWNSHIP, MI","[-82.8510208, 42.6729774]"
"50271 E. RUSSELL SCHMIDT BLVD., NEW BALTIMORE, MI","[-82.8508526, 42.66424019999999]"
"29 WEST RUNDELL, PONTIAC, MI","[-83.29591599999999, 42.6518439]"
"930 COURT ST, PORT HURON, MI","[-82.4315147, 42.9714415]"
"4200 DOVE ROAD, PORT HURON, MI","[-82.4907844, 42.9527862]"
"1033 RIVER, PORT HURON, MI","[-82.43630069999999, 42.9848486]"
"1026 MILITARY, PORT HURON, MI","[-82.4240239, 42.9728532]"
"1631 DOVE ST., PT. HURON, MI","[-82.4426076, 42.952734]"
"68059 S. MAIN ST., RICHMOND, MI","[-82.7497618, 42.8022666]"
"43653 GRATIOT, CLINTON TWP, MI","[-82.86929920000001, 42.6163657]"
"129 W. LAFEYETTE, ROMEO, MI","[-83.0147156, 42.8013677]"
"29469 GROESBECK HWY, ROSEVILLE, MI","[-82.95679310000001, 42.512055]"
"29100 GROESBECK HIGHWAY, ROSEVILLE, MI","[-82.95641499999999, 42.5100862]"
"29800 PARKWAY, ROSEVILLE, MI","[-82.9494416, 42.5151499]"
"32123 GRATIOT AVENUE, ROSEVILLE, MI","[-82.9167069, 42.5333032]"
"604-614 E. LINCOLN AVE, ROYAL OAK, MI","[-83.1376935, 42.4832097]"
"32350 EDWARD AVE., MADIISON HEIGHTS, MI","[-83.101263, 42.5299708]"
"32100 STEPHENSON HIGHWAY, MADISION HEIGHTS, MI","[-83.11882279999999, 42.5282433]"
"1524 E. AVIS DRIVE, MADISON HEIGHTS, MI","[-83.09107700000001, 42.5278688]"
"999 E. MANDOLINE, MADISON HEIGHTS, MI","[-83.097281, 42.53297269999999]"
"32400 INDUSTRIAL DRIVE, MADISON HEIGHTS, MI","[-83.08956789999999, 42.5291509]"
"1604 E. 14 MILE ROAD, MADISON HEIGHTS, MI","[-83.09023859999999, 42.5342259]"
"1605 E. AVIS DRIVE, MADISON HEIGHTS, MI","[-83.0899032, 42.5287134]"
"27799 WOODWARD, BERKLEY, MI","[-83.16460699999999, 42.4948511]"
"4727 COOLIDGE HWY., ROYAL OAK, MI","[-83.1849012, 42.5320712]"
"4350 DELEMERE BOULEVARD, ROYAL OAK, MI","[-83.17641429999999, 42.52875359999999]"
"5038 LEAFDALE, ROYAL OAK, MI","[-83.17549319999999, 42.5364801]"
"4909 FERNLEE ST., ROYAL OAK, MI","[-83.1783611, 42.534496]"
"4539 NORMANDY COURT, ROYAL OAK, MI","[-83.18132659999999, 42.5283171]"
"15 GAFFIELD DRIVE, SMITHS CREEK, MI","[-82.5168209, 42.90629149999999]"
"20905 MAPLERIDGE AVENUE, SOUTHFIELD, MI","[-83.2378449, 42.4461914]"
"21500 NORTHWESTERN HIGHWAY, SOUTHFIELD, MI","[-83.2047516, 42.4510715]"
"VICINITY OF 8 MILE AND LAHSER, SOUTHFIELD, MI","[-83.258507, 42.443158]"
"16210 W. 9 MILE RD., SOUTHFIELD, MI","[-83.2076807, 42.4597725]"
