agency facility id,pollutant type(s),pollutant type(s)
AIRPORTCMX,HAP,34
AIRPORTCVX,HAP,32
AIRPORTD11,HAP,32
AIRPORTD15,HAP,32
AIRPORTD20,HAP,32
AIRPORTD90,HAP,32
AIRPORTD95,HAP,32
AIRPORTD98,HAP,32
AIRPORTDET,HAP,34
AIRPORTDRM,HAP,32
AIRPORTDTW,HAP,33
AIRPORTDUH,HAP,32
AIRPORTE53,HAP,32
AIRPORTE66,HAP,32
AIRPORTERY,HAP,32
AIRPORTESC,HAP,34
AIRPORTFFX,HAP,32
AIRPORTFKS,HAP,32
AIRPORTFNT,HAP,33
AIRPORTFPK,HAP,32
AIRPORTGDW,HAP,32
AIRPORTGLR,HAP,32
AIRPORTGOV,HAP,32
AIRPORTGRR,HAP,33
AIRPORTH80,HAP,32
AIRPORTHAI,HAP,32
AIRPORTHLM,HAP,33
AIRPORTHTL,HAP,32
AIRPORTHYX,HAP,32
AIRPORTIMT,HAP,34
AIRPORTIRS,HAP,32
AIRPORTISQ,HAP,32
AIRPORTIWD,HAP,34
AIRPORTJXN,HAP,33
AIRPORTJYM,HAP,32
AIRPORTLAN,HAP,33
AIRPORTLDM,HAP,32
AIRPORTLWA,HAP,32
AIRPORTM61,HAP,32
AIRPORTM86,HAP,32
AIRPORTMBL,HAP,34
AIRPORTMBS,HAP,33
AIRPORTMCD,HAP,32
AIRPORTMGN,HAP,32
AIRPORTMI01,HAP,26
AIRPORTMI02,HAP,26
AIRPORTMI05,HAP,26
AIRPORTMI07,HAP,32
AIRPORTMI08,HAP,32
AIRPORTMI09,HAP,32
AIRPORTMI10,HAP,32
AIRPORTMI11,HAP,26
AIRPORTMI13,HAP,26
AIRPORTMI14,HAP,32
AIRPORTMI15,HAP,26
AIRPORTMI16,HAP,32
AIRPORTMI17,HAP,32
AIRPORTMI18,HAP,26
AIRPORTMI19,HAP,26
AIRPORTMI20,HAP,32
AIRPORTMI22,HAP,26
AIRPORTMI23,HAP,26
AIRPORTMI24,HAP,26
AIRPORTMI25,HAP,26
AIRPORTMI27,HAP,26
AIRPORTMI28,HAP,32
AIRPORTMI29,HAP,26
AIRPORTMI31,HAP,26
AIRPORTMI32,HAP,32
AIRPORTMI33,HAP,26
AIRPORTMI34,HAP,32
AIRPORTMI35,HAP,26
AIRPORTMI36,HAP,32
AIRPORTMI37,HAP,26
AIRPORTMI38,HAP,26
AIRPORTMI39,HAP,26
AIRPORTMI40,HAP,32
AIRPORTMI41,HAP,26
AIRPORTMI42,HAP,32
AIRPORTMI44,HAP,26
AIRPORTMI46,HAP,32
AIRPORTMI47,HAP,26
AIRPORTMI48,HAP,26
AIRPORTMI49,HAP,32
AIRPORTMI53,HAP,32
AIRPORTMI54,HAP,32
AIRPORTMI56,HAP,26
AIRPORTMI57,HAP,32
AIRPORTMI58,HAP,26
AIRPORTMI59,HAP,32
AIRPORTMI60,HAP,26
AIRPORTMI61,HAP,32
AIRPORTMI63,HAP,32
AIRPORTMI66,HAP,32
AIRPORTMI67,HAP,26
AIRPORTMI68,HAP,26
AIRPORTMI70,HAP,32
AIRPORTMI71,HAP,26
AIRPORTMI72,HAP,26
AIRPORTMI74,HAP,32
AIRPORTMI76,HAP,26
AIRPORTMI78,HAP,26
AIRPORTMI79,HAP,32
AIRPORTMI80,HAP,26
AIRPORTMI81,HAP,32
AIRPORTMI82,HAP,26
AIRPORTMI85,HAP,32
AIRPORTMI86,HAP,26
AIRPORTMI88,HAP,26
AIRPORTMI89,HAP,26
AIRPORTMI90,HAP,32
AIRPORTMI92,HAP,26
AIRPORTMI95,HAP,26
AIRPORTMI97,HAP,32
AIRPORTMI98,HAP,26
AIRPORTMI99,HAP,26
AIRPORTMKG,HAP,33
AIRPORTMNM,HAP,32
AIRPORTMOP,HAP,33
AIRPORTMTC,HAP,32
AIRPORTN98,HAP,32
AIRPORTOEB,HAP,32
AIRPORTOGM,HAP,32
AIRPORTONZ,HAP,32
AIRPORTOSC,HAP,33
AIRPORTOZW,HAP,32
AIRPORTP97,HAP,32
AIRPORTPHN,HAP,33
AIRPORTPLN,HAP,34
AIRPORTPTK,HAP,34
AIRPORTPZQ,HAP,32
AIRPORTRCT,HAP,32
AIRPORTRMY,HAP,32
AIRPORTRNP,HAP,32
AIRPORTRQB,HAP,32
AIRPORTSAW,HAP,33
AIRPORTSJX,HAP,32
AIRPORTSLH,HAP,32
AIRPORTTEW,HAP,32
AIRPORTTTF,HAP,32
AIRPORTTVC,HAP,33
AIRPORTVLL,HAP,32
AIRPORTW87,HAP,32
AIRPORTY04,HAP,32
AIRPORTY30,HAP,32
AIRPORTY31,HAP,32
AIRPORTY47,HAP,32
AIRPORTY65,HAP,32
AIRPORTY70,HAP,32
AIRPORTY73,HAP,32
AIRPORTY83,HAP,32
AIRPORTY87,HAP,32
AIRPORTY88,HAP,32
AIRPORTY89,HAP,32
AIRPORTY91,HAP,32
