id,name,address,city,zip_code,county,full_address
U821809943,MPC LP TERMINAL ROMULUS,28001 CITRIN DR.,ROMULUS,48174,WAYNE,"28001 CITRIN DR., ROMULUS, MI"
U811700247,SALINE COMMONS,1335 E. MICHIGAN AVE,SALINE,48176,WASHTENAW,"1335 E. MICHIGAN AVE, SALINE, MI"
U631500167,SOUTH LYON GRAIN ELEVATOR,LAKE STREET,SOUTH LYON,48178,OAKLAND,"LAKE STREET, SOUTH LYON, MI"
U631612572,SOUTH LYON HOTEL,201 N. LAFAYETTE STREET,SOUTH LYON,48178,OAKLAND,"201 N. LAFAYETTE STREET, SOUTH LYON, MI"
U821803866,COMMERCIAL BUILDING,21840 EUREKA,TAYLOR,48180,WAYNE,"21840 EUREKA, TAYLOR, MI"
U821606386,PAR WICK PHARMACY,22350 WICK ROAD,TAYLOR,48180,WAYNE,"22350 WICK ROAD, TAYLOR, MI"
U821508779,RAMADA HOTEL,20777 EUREKA RD,TAYLOR,48180,WAYNE,"20777 EUREKA RD, TAYLOR, MI"
U821606385,RESIDENCE,22308 WICK,TAYLOR,48180,WAYNE,"22308 WICK, TAYLOR, MI"
U821505694,VACANT BUILDING,15333 RANCHO,TAYLOR,48180,WAYNE,"15333 RANCHO, TAYLOR, MI"
U821705360,WAHLBURGERS TAYLOR LLC,21200 PENN,TAYLOR,48180,48180,"21200 PENN, TAYLOR, MI"
U821810662,FORMER MCLOUTH STEEL,1491 W. JEFFERSON,TRENTON,48183,48183,"1491 W. JEFFERSON, TRENTON, MI"
U821512947,FORMER KMART,19800 WEST ROAD,WOODHAVEN,48183,48183,"19800 WEST ROAD, WOODHAVEN, MI"
U821702368,FORMER UNIQUE SUPER TAN,22750 ALLEN ROAD,WOODHAVEN,48183,48183,"22750 ALLEN ROAD, WOODHAVEN, MI"
U822002450,FORMER 112 BAR,39112 MICHIGAN AVE,WAYNE,48184,48184,"39112 MICHIGAN AVE, WAYNE, MI"
U821802926,COMMERCIAL BUILDING,32932 WARREN RD.,WESTLAND,48185,48185,"32932 WARREN RD., WESTLAND, MI"
U821910547,COMMERCIAL PROPERTY,824 RIDGE RD. S.,CANTON,48188,48188,"824 RIDGE RD. S., CANTON, MI"
U822101831,DYE BROS,43415 MICHIGAN,CANTON,48188,48188,"43415 MICHIGAN, CANTON, MI"
U822004064,VACANT RESIDENCE,44134 MICHIGAN AVE.,CANTON,48188,48188,"44134 MICHIGAN AVE., CANTON, MI"
U811700638,FORMER HOMETOWN BICYCLES SHOP,9317 MAIN STREET,WHITMORE LAKE,48189,48189,"9317 MAIN STREET, WHITMORE LAKE, MI"
U812101845,VACANT APARTMENT,9429 MAIN,WHITMORE LAKE,48189,48189,"9429 MAIN, WHITMORE LAKE, MI"
U811810016,VACANT SCHEDULED FOR DEMO,9594 MAIN ST.,WHITMORE LAKE,48189,48189,"9594 MAIN ST., WHITMORE LAKE, MI"
